Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-000663,2020-02,01/01/2010 23:59,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3500,TENNESSEE AVE,19, , ,3900,CALIFORNIA,0,0
20-009550,2020-02,01/01/2015 12:00,Y, , ,1, ,179210,4,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3600,N MARKET ST,59, , ,3600,MARKET,0,0
20-005384,2020-02,01/01/2020 07:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,1312,TEMPLE PL,78, ,APT A,1312,TEMPLE,883011.1,1031316
20-006686,2020-02,01/01/2020 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4866,RIVERVIEW BLVD,72, , ,4866,RIVERVIEW,888830.1,1043428
20-009817,2020-02,01/01/2020 12:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4316,GRAVOIS AVE,5, , ,4316,GRAVOIS,888855.8,1002683
20-000475,2020-02,01/01/2020 19:00, , , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,8544,BROADWAY,74, , , , ,0,0
20-000475,2020-02,01/01/2020 19:00, , , ,-1, , 63701,6,LARCENY-SHOPLIFT UNDER $500,8544,BROADWAY,74, , , , ,0,0
20-009512,2020-02,01/02/2020 08:00,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,811,SPRUCE ST,35, ,AVIS BUDGET GROUP,811,SPRUCE,907472.1,1015934
20-007975,2020-02,01/02/2020 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,5749,GOODFELLOW PL,50, , ,5749,GOODFELLOW,885131.9,1037449
20-007893,2020-02,01/02/2020 12:00,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,3332,BELT AVE,50, , ,3300,BELT,887374.2,1036415
20-000379,2020-02,01/03/2020 00:43,Y, , ,1, , 51230,5,BURGLARY-RESIDENCE/NIT/ATT FORCE ENTRY,3932,NORTH MARKET ST,56, , ,3932,NORTH MARKET,896983.6,1027077
20-005578,2020-02,01/03/2020 12:00,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL,2241,RICHERT PL,43, , ,2241,RICHERT,874545.9,1013631
20-000560,2020-02,01/04/2020 00:01,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",0,CHOUTEAU AVE / S SARAH ST,39, , , , ,891570.9,1017693
20-000582,2020-02,01/04/2020 04:49,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3936,COOK AVE,58, , ,3936,COOK,895577.4,1024907
20-000610,2020-02,01/04/2020 10:00, , , ,1, , 21000,2,RAPE -- FORCIBLE,3600,MAGNOLIA,27,BEAUVAIS MANOR ON THE PARK, ,3600,MAGNOLIA,0,0
20-000610,2020-02,01/04/2020 10:00, , , ,-1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,3625,MAGNOLIA,27,BEAUVAIS MANOR ON THE PARK, ,3625,MAGNOLIA,0,0
20-009480,2020-02,01/04/2020 10:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4130,S GRAND BLVD,16, , ,4130,GRAND,893388.9,1000727
20-005819,2020-02,01/04/2020 12:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3132,POTOMAC ST,19, , ,3132,POTOMAC,895580.9,1004716
