time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-21T02:23:41.411Z,63.0996,-144.31,4.2,1.6,ml,,,,0.48,ak,ak20128729,2018-08-21T02:26:33.886Z,"71km WSW of Tok, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-08-21T02:18:28.720Z,33.5038333,-116.794,2.91,0.36,ml,14,74,0.01003,0.09,ci,ci38254424,2018-08-21T02:21:57.452Z,"10km NE of Aguanga, CA",earthquake,0.26,0.46,0.1,8,automatic,ci,ci
2018-08-21T02:13:08.870Z,33.5021667,-116.7938333,2.72,0.7,ml,22,67,0.01154,0.14,ci,ci38254416,2018-08-21T02:16:53.037Z,"9km NE of Aguanga, CA",earthquake,0.21,0.37,0.11,22,automatic,ci,ci
2018-08-21T02:12:01.910Z,33.499,-116.784,2.77,0.5,ml,18,58,0.01909,0.12,ci,ci38254408,2018-08-21T02:15:42.724Z,"10km NE of Aguanga, CA",earthquake,0.21,0.27,0.097,14,automatic,ci,ci
2018-08-21T02:06:18.720Z,33.2523333,-116.4096667,3.83,0.75,ml,12,80,0.01702,0.22,ci,ci38254400,2018-08-21T02:09:45.924Z,"3km W of Borrego Springs, CA",earthquake,0.53,0.62,0.105,13,automatic,ci,ci
2018-08-21T02:03:46.000Z,33.4978333,-116.7905,4.14,0.42,ml,17,60,0.01667,0.11,ci,ci38254392,2018-08-21T02:07:28.686Z,"9km NE of Aguanga, CA",earthquake,0.22,0.44,0.181,10,automatic,ci,ci
2018-08-21T01:58:12.930Z,33.4941667,-116.7955,2.46,0.39,ml,13,110,0.0186,0.07,ci,ci38254384,2018-08-21T02:01:40.641Z,"9km NE of Aguanga, CA",earthquake,0.19,0.17,0.115,9,automatic,ci,ci
2018-08-21T01:56:50.440Z,33.4931667,-116.7935,5.76,0.27,ml,11,108,0.08599,0.1,ci,ci38254376,2018-08-21T02:00:25.632Z,"9km NE of Aguanga, CA",earthquake,0.42,1.38,0.116,3,automatic,ci,ci
2018-08-21T01:47:18.625Z,64.6703,-148.0405,10.3,1.5,ml,,,,0.47,ak,ak20128720,2018-08-21T01:52:00.679Z,"19km S of Ester, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-08-21T01:39:13.960Z,33.9293333,-116.8266667,4.01,1.8,ml,67,37,0.03867,0.17,ci,ci38254368,2018-08-21T01:50:34.360Z,"4km WNW of Cabazon, CA",earthquake,0.16,0.46,0.207,26,automatic,ci,ci
