WEATHER STATION,LOCATION,RAINFALL
TAMBARAM,"TAMBARAM, TAMIL NADU",49
CHEMBARABAKKAM,"CHEMBARABAKKAM, TAMIL NADU",47
MARAKKANAM,"MARAKKANAM, TAMIL NADU",42
CHENGALPATTU,"CHENGALPATTU, TAMIL NADU",39
PONNERI,"PONNERI, TAMIL NADU",39
SRIPERUMBUDUR,"SRIPERUMBUDUR, TAMIL NADU",38
CHEYYUR,"CHEYYUR, TAMIL NADU",38
CHENNAI AP,"CHENNAI AP, TAMIL NADU",35
MAHABALIPURAM,"MAHABALIPURAM, TAMIL NADU",34
POONAMALLEE,"POONAMALLEE, TAMIL NADU",34
RED HILLS,"RED HILLS, TAMIL NADU",32
ANNA UTY ARG,"ANNA UTY ARG, TAMIL NADU",32
TARAMANI ARG,"TARAMANI ARG, TAMIL NADU",30
CHOLAVARAM,"CHOLAVARAM, TAMIL NADU",29
CHENNAI(N),"CHENNAI(N), TAMIL NADU",29
THAMARAIPAKKAM,"THAMARAIPAKKAM, TAMIL NADU",28
MADURANTHAGAM,"MADURANTHAGAM, TAMIL NADU",28
DGP OFFICE,"DGP OFFICE, TAMIL NADU",27
TIRUVALLUR,"TIRUVALLUR, TAMIL NADU",22
ANNA,"ANNA, TAMIL NADU",22
UNIVERSITY,"UNIVERSITY, TAMIL NADU",22
PONDICHERRY,"PONDICHERRY, TAMIL NADU",22
POONDI,"POONDI, TAMIL NADU",19
UTHIRAMERUR,"UTHIRAMERUR, TAMIL NADU",19
KANCHEEPURAM,"KANCHEEPURAM, TAMIL NADU",17
THIRUVALANGADU,"THIRUVALANGADU, TAMIL NADU",15
CHEYYAR,"CHEYYAR, TAMIL NADU",14
VANUR,"VANUR, TAMIL NADU",14
VEDARANYAM,"VEDARANYAM, TAMIL NADU",14
CUDDALORE,"CUDDALORE, TAMIL NADU",13
VILUPURAM,"VILUPURAM, TAMIL NADU",13
TINDIVANAM,"TINDIVANAM, TAMIL NADU",12
ARAKONAM,"ARAKONAM, TAMIL NADU",11
VANDAVASI,"VANDAVASI, TAMIL NADU",11
TIRUTTANI,"TIRUTTANI, TAMIL NADU",9
GINGEE,"GINGEE, TAMIL NADU",9
KAVERIPAKKAM,"KAVERIPAKKAM, TAMIL NADU",8
THIRUTHURAIPOONDI,"THIRUTHURAIPOONDI, TAMIL NADU",8
PALLIPATTU,"PALLIPATTU, TAMIL NADU",8
NAGAPATTINAM,"NAGAPATTINAM, TAMIL NADU",7
POLUR,"POLUR, TAMIL NADU",7
PARANGIPETTAI,"PARANGIPETTAI, TAMIL NADU",7
NEYVELI AWS,"NEYVELI AWS, TAMIL NADU",6
R.K.PET,"R.K.PET, TAMIL NADU",6
MANNARGUDI,"MANNARGUDI, TAMIL NADU",6
ULUNDURPET,"ULUNDURPET, TAMIL NADU",6
ARANI,"ARANI, TAMIL NADU",6
VALANGAIMAN,"VALANGAIMAN, TAMIL NADU",6
TRANGAMBADI/TRANQUEB,"TRANGAMBADI/TRANQUEB, TAMIL NADU",6
NEEDAMANGALAM,"NEEDAMANGALAM, TAMIL NADU",6
VELLORE,"VELLORE, TAMIL NADU",5
MADUKKUR,"MADUKKUR, TAMIL NADU",5
KODAVASAL,"KODAVASAL, TAMIL NADU",5
SHOLINGUR,"SHOLINGUR, TAMIL NADU",5
KARAIKAL,"KARAIKAL, TAMIL NADU",5
PERAVURANI,"PERAVURANI, TAMIL NADU",4
SIRKALI,"SIRKALI, TAMIL NADU",4
WALLAJAH,"WALLAJAH, TAMIL NADU",4
VIRUDACHALAM,"VIRUDACHALAM, TAMIL NADU",4
SRIMUSHNAM,"SRIMUSHNAM, TAMIL NADU",4
CHIDAMBARAM,"CHIDAMBARAM, TAMIL NADU",3
TIRUKOILUR,"TIRUKOILUR, TAMIL NADU",3
PATTUKOTTAI,"PATTUKOTTAI, TAMIL NADU",3
UTTAMAPALAYAM,"UTTAMAPALAYAM, TAMIL NADU",3
TIRUVARUR,"TIRUVARUR, TAMIL NADU",3
AYIKUDI,"AYIKUDI, TAMIL NADU",3
MELALATHUR,"MELALATHUR, TAMIL NADU",3
MUTHUPET,"MUTHUPET, TAMIL NADU",3
SENDURAI,"SENDURAI, TAMIL NADU",3
ADIRAMPATNAM,"ADIRAMPATNAM, TAMIL NADU",3
TIRUVANNAMALAI,"TIRUVANNAMALAI, TAMIL NADU",3
SANKARAPURAM,"SANKARAPURAM, TAMIL NADU",3
MAYILADUTHURAI,"MAYILADUTHURAI, TAMIL NADU",3
NANNILAM,"NANNILAM, TAMIL NADU",3
SETHIATHOPE,"SETHIATHOPE, TAMIL NADU",3
