Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
16-051920,2016-10,01/01/2016 00:01,Y, , ,1, ,175400,0,SEX OFFNS-SX MISCONDUCT/SECOND,0,UNKNOWN,0, , ,3200,SCHOOL,0,0
16-054601,2016-10,01/01/2016 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4909,PENROSE ST,69, , ,4909,PENROSE,892863.9,1036887
16-051500,2016-10,01/14/2015 08:49,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6230,LORAN AVE,8, , ,6230,LORAN,878097.4,1001035
16-054161,2016-10,01/23/2016 09:04,Y, , ,1, ,263210,4,OBSTRUCT GOVRN OP-JUDIC/TMPR WTH WITNESS,200,S TUCKER BLVD,35, ,@CITY JUSTICE CENTER,200,TUCKER,906343.9,1016785
16-049818,2016-10,02/24/2016 15:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1000,N 2ND ST,35, ,@HOTEL- FOUR SEASONS,1000,2ND,0,0
16-055410,2016-10,03/18/1998 12:38,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4017,DUNNICA AVE,16, , ,4017,DUNNICA,890270.3,1003298
16-052661,2016-10,03/30/2016 10:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,4016,CORA AVE,69, , ,4016,CORA,894432.5,1034671
16-054048,2016-10,04/01/2016 00:01,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,900,N KINGSHIGHWAY BLVD,53, , ,900,KINGSHIGHWAY,887992.3,1027106
16-051715,2016-10,04/02/2016 17:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,6212,ARTHUR AVE,9, , ,6212,ARTHUR,878763.3,1007786
16-050850,2016-10,04/07/2016 13:21,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,5000,S BROADWAY,17,GEITNER NURSING HOME,GEITNER NURSING HOME,5000,BROADWAY,895197.3,995178.8
16-054870,2016-10,04/15/2016 12:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,3840,COTE BRILLIANTE AVE,59,AL S AUTO REPAIR SHOP, ,3840,COTE BRILLIANTE,897718,1026082
