eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude
2.01201E+11,2012,1,2,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,3,,0,,147,Nigeria,11,Sub-Saharan Africa,Jigawa,Birniwa,12.78679,10.23771
2.01201E+11,2012,1,3,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,3,,0,,147,Nigeria,11,Sub-Saharan Africa,Yobe,Damaturu,11.74886,11.96603
2.01201E+11,2012,1,3,,0,,147,Nigeria,11,Sub-Saharan Africa,Gombe,Gombe,10.2824,11.17479
2.01201E+11,2012,1,4,,0,,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Mubi,10.266667,13.266667
2.01201E+11,2012,1,4,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,4,,0,,147,Nigeria,11,Sub-Saharan Africa,Yobe,Damaturu,11.74886,11.96603
2.01201E+11,2012,1,5,,0,,147,Nigeria,11,Sub-Saharan Africa,Gombe,Gombe,10.2824,11.17479
2.01201E+11,2012,1,5,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.83552,13.150737
2.01201E+11,2012,1,6,,0,,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Mubi,10.266667,13.266667
2.01201E+11,2012,1,6,,0,,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Yola,9.203496,12.49539
2.01201E+11,2012,1,6,,0,,147,Nigeria,11,Sub-Saharan Africa,Yobe,Potiskum,11.70896,11.06997
2.01201E+11,2012,1,6,,0,,147,Nigeria,11,Sub-Saharan Africa,Yobe,Potiskum,11.70896,11.06997
2.01201E+11,2012,1,6,,0,,147,Nigeria,11,Sub-Saharan Africa,Yobe,Potiskum,11.70896,11.06997
2.01201E+11,2012,1,6,,0,,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Doubeli,9.203496,12.49539
2.01201E+11,2012,1,6,,0,,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Yola,9.203496,12.49539
2.01201E+11,2012,1,6,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Mairi,11.814638,13.190456
2.01201E+11,2012,1,7,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Biu,10.6111,12.195
2.01201E+11,2012,1,7,,0,,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Mubi,10.266667,13.266667
2.01201E+11,2012,1,8,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,8,,0,,147,Nigeria,11,Sub-Saharan Africa,Kaduna,Kaduna,10.516667,7.433333
2.01201E+11,2012,1,9,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Biu,10.6111,12.195
2.01201E+11,2012,1,9,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,9,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,9,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,10,,0,,147,Nigeria,11,Sub-Saharan Africa,Yobe,Potiskum,11.70896,11.06997
2.01201E+11,2012,1,10,,0,,147,Nigeria,11,Sub-Saharan Africa,Edo,Benin City,6.33908,5.626482
2.01201E+11,2012,1,10,,0,,147,Nigeria,11,Sub-Saharan Africa,Edo,Benin City,6.33908,5.626482
2.01201E+11,2012,1,10,,0,,147,Nigeria,11,Sub-Saharan Africa,Bauchi,Pyakman,9.749973,9.551801
2.01201E+11,2012,1,11,,0,,147,Nigeria,11,Sub-Saharan Africa,Yobe,Potiskum,11.70896,11.06997
2.01201E+11,2012,1,11,,0,,147,Nigeria,11,Sub-Saharan Africa,Rivers,Port Harcourt,4.784821,7.005453
2.01201E+11,2012,1,13,,0,,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Yola,9.203496,12.49539
2.01201E+11,2012,1,13,,0,,147,Nigeria,11,Sub-Saharan Africa,Gombe,Gombe,10.2824,11.17479
2.01201E+11,2012,1,15,,0,,147,Nigeria,11,Sub-Saharan Africa,Gombe,Bajoga,10.854444,11.431944
2.01201E+11,2012,1,16,,0,,147,Nigeria,11,Sub-Saharan Africa,Yobe,Damaturu,11.74886,11.96603
2.01201E+11,2012,1,16,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,17,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,17,,0,,147,Nigeria,11,Sub-Saharan Africa,Adamawa,Mubi,10.266667,13.266667
2.01201E+11,2012,1,17,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833333,13.15
2.01201E+11,2012,1,17,,0,,147,Nigeria,11,Sub-Saharan Africa,Borno,Maiduguri,11.833846,13.150681
